"SSID","802.11 Type","Security","Signal","SNR","Strongest AP","APs","BSSIDs","Clients","Channels","Last Seen"
"Gentiva-Corp","n,g,b,a","WPA2-E","--","--","--","1","2","--","2","February 22, 2021 at 01:33 PM"
"CBCI-CE74-5","ac,n,a","WPA2-P,WPA-P","-58 dBm","32 dB","Pegatron:ecaaa0-360068","1","1","--","1","February 22, 2021 at 01:44 PM"
"NetAlly AX Demo - 5.0GHz","ax,ac,n,a","WPA2-P","-55 dBm","35 dB","172.24.16.46","1","1","--","1","February 22, 2021 at 01:44 PM"
"JFMfgTest_EVT","g,b","WPA2-P,WPA-P","-54 dBm","36 dB","Cisco-Li:48f8b3-147085","1","1","--","1","February 22, 2021 at 01:44 PM"
"Innovation_Guest","ac,n,g,b,a","WPA2-P","-71 dBm","19 dB","ArubaaHe:84d47e-ebb561","1","2","1","2","February 22, 2021 at 01:44 PM"
"xfinitywifi","ac,n,a","Open","-58 dBm","32 dB","Pegatron:ecaaa0-360068","2","2","1","1","February 22, 2021 at 01:44 PM"
"XFINITY","ac,n,a","WPA2-E","-58 dBm","32 dB","Pegatron:ecaaa0-360068","2","2","--","1","February 22, 2021 at 01:44 PM"
"Innovation","ac,n,g,b,a","WPA2-P","-71 dBm","19 dB","ArubaaHe:84d47e-ebb561","1","2","--","2","February 22, 2021 at 01:44 PM"
"FiOS-AR3HX","n,g,b","WPA2-P","--","--","--","1","1","--","1","February 22, 2021 at 01:38 PM"
"HPE710n.80A36C","g,b","Open","--","--","--","1","1","1","1","February 22, 2021 at 01:43 PM"
"OC-Guest","ac,n,g,b,a","Open","--","--","--","2","3","--","3","February 22, 2021 at 01:36 PM"
"Snackers_Service_5G","ac,n,a","Open","-72 dBm","18 dB","ASUSTekC:9c5c8e-89c28c","1","1","--","1","February 22, 2021 at 01:44 PM"
"srmguest","ac,n,g,b,a","WPA2-P","-70 dBm","20 dB","CiscoMer:683a1e-321628","2","4","1","4","February 22, 2021 at 01:44 PM"
"SRMSTF-1","ac,n,g,b,a","WPA2-P","-69 dBm","21 dB","CiscoMer:683a1e-321628","2","4","4","4","February 22, 2021 at 01:44 PM"
"[srmwifi]","ac,n,g,b,a","WPA2-P","-70 dBm","20 dB","CiscoMer:683a1e-321628","2","3","2","3","February 22, 2021 at 01:44 PM"
"Interior2","ac,n,g,b,a","WPA2-E","-72 dBm","18 dB","Local:068dcb-6f4f4a","1","2","--","2","February 22, 2021 at 01:44 PM"
"ILG-Guest","ac,n,g,b,a","Open","-72 dBm","18 dB","Local:068dcb-6f4f4a","1","2","--","2","February 22, 2021 at 01:44 PM"
"Interior","ac,n,g,b,a","WPA2-E","--","--","--","1","2","--","2","February 22, 2021 at 01:44 PM"
"FiOS-AR3HX-5G","ac,n,a","WPA2-P","--","--","--","1","1","--","1","February 22, 2021 at 01:38 PM"
"CBCI-C226-5","ac,n,a","WPA2-P,WPA-P","-75 dBm","15 dB","Pegatron:c07cd1-bb1842","1","1","--","1","February 22, 2021 at 01:44 PM"
"OC-Corp","ac,n,g,b,a","WPA2-E","--","--","--","2","3","--","3","February 22, 2021 at 01:36 PM"
"Frontier6236","n,g,b","WPA-P","--","--","--","1","1","--","1","February 22, 2021 at 01:39 PM"
"CBCI-C226-2.4","n,g,b","WPA2-P,WPA-P","--","--","--","1","1","--","1","February 22, 2021 at 01:37 PM"
"NVR542b572da93a","n,g,b","WPA2-P","--","--","--","1","1","2","1","February 22, 2021 at 01:43 PM"
"DIRECT-41-HP OfficeJet Pro 6970","n,g","WPA2-P","--","--","--","1","1","--","1","February 22, 2021 at 01:38 PM"
